episode: 105, env_step_num = 9729, score = -536.8637363283767
episode: 106, env_step_num = 9841, score = -477.0709367785978
episode: 107, env_step_num = 9942, score = -147.6608494935834
episode: 108, env_step_num = 10009, score = -119.34022659597056
episode: 109, env_step_num = 10115, score = -263.29634025182855
episode: 110, env_step_num = 10234, score = -63.6623763404948
episode: 111, env_step_num = 10318, score = -203.28389746943742
episode: 112, env_step_num = 10426, score = -233.03247220852077
episode: 113, env_step_num = 10522, score = -333.9752314738376
episode: 114, env_step_num = 10651, score = -29.712003419450255
episode: 115, env_step_num = 10737, score = -456.03109652015866
episode: 116, env_step_num = 10832, score = -360.66698805343617
episode: 117, env_step_num = 10927, score = -405.9488513301578
episode: 118, env_step_num = 11045, score = -86.75751923982796
episode: 119, env_step_num = 11121, score = -97.46076198918715
episode: 120, env_step_num = 11189, score = -57.049711751700826
episode: 121, env_step_num = 11295, score = -383.1223508672378
episode: 122, env_step_num = 11411, score = -319.9830506775071
episode: 123, env_step_num = 11482, score = -151.57049681374218
episode: 124, env_step_num = 11590, score = -227.80989409037622
episode: 125, env_step_num = 11683, score = -88.7840273884296
episode: 126, env_step_num = 11746, score = -155.05817119349052
episode: 127, env_step_num = 11802, score = -95.19591168957137
episode: 128, env_step_num = 11908, score = -100.29128854086699
episode: 129, env_step_num = 12032, score = -55.919711572137984
episode: 130, env_step_num = 12143, score = -358.7176067131079
episode: 131, env_step_num = 12204, score = -164.43271060488604
episode: 132, env_step_num = 12322, score = -254.2623197921418
episode: 133, env_step_num = 12414, score = -392.88672588873146
episode: 134, env_step_num = 12501, score = -337.8330918803934
episode: 135, env_step_num = 12592, score = -131.79712767217168
episode: 136, env_step_num = 12696, score = -501.09505535146565
episode: 137, env_step_num = 12779, score = -255.80884744416076
episode: 138, env_step_num = 12854, score = -96.86466838061763
episode: 139, env_step_num = 12940, score = -71.94859723345554
episode: 140, env_step_num = 13052, score = -366.3170619074005
episode: 141, env_step_num = 13166, score = -189.76516403506966
episode: 142, env_step_num = 13250, score = -132.78911310528127
episode: 143, env_step_num = 13368, score = -153.63328579036664
episode: 144, env_step_num = 13479, score = -105.94839989815927
episode: 145, env_step_num = 13569, score = -110.74237040048453
episode: 146, env_step_num = 13703, score = -338.6453184350448
episode: 147, env_step_num = 13796, score = -256.14162434957314
episode: 148, env_step_num = 13898, score = -107.37116325318823
episode: 149, env_step_num = 13960, score = -138.76388193098626
episode: 150, env_step_num = 14024, score = -116.51021044483184
episode: 151, env_step_num = 14101, score = -88.48358929733234
episode: 152, env_step_num = 14162, score = -116.22878451249075
episode: 153, env_step_num = 14278, score = -292.28496396360333
episode: 154, env_step_num = 14345, score = -98.30553162593546
episode: 155, env_step_num = 14457, score = -354.39247864781737
episode: 156, env_step_num = 14593, score = -374.2315234918122
episode: 157, env_step_num = 14683, score = -104.75606654500618
episode: 158, env_step_num = 14760, score = -100.06701521279186
episode: 159, env_step_num = 14886, score = -79.96357032242122
episode: 160, env_step_num = 14969, score = -371.94334840651743
episode: 161, env_step_num = 15046, score = -85.13922687865917
episode: 162, env_step_num = 15128, score = -296.8103103165449
episode: 163, env_step_num = 15227, score = -432.92437397632716
episode: 164, env_step_num = 15318, score = -257.77566138572416
episode: 165, env_step_num = 15401, score = -218.68973290028651
episode: 166, env_step_num = 15470, score = -40.80026526476823
episode: 167, env_step_num = 15525, score = -78.19638558336845
episode: 168, env_step_num = 15590, score = -149.90774318903524
episode: 169, env_step_num = 15656, score = -108.50299011726625
episode: 170, env_step_num = 15758, score = -272.50169262869633
episode: 171, env_step_num = 15854, score = -68.41350389882432
episode: 172, env_step_num = 15983, score = -152.88849591373497
episode: 173, env_step_num = 16063, score = -151.56656174883517
episode: 174, env_step_num = 16142, score = -91.4938122543286
episode: 175, env_step_num = 16229, score = -73.66237656206353
episode: 176, env_step_num = 16300, score = -162.65104497875313
episode: 177, env_step_num = 16379, score = -148.17232931698953
episode: 178, env_step_num = 16450, score = -109.0480565424419
episode: 179, env_step_num = 16547, score = -161.25294103127754
episode: 180, env_step_num = 16667, score = -139.3539325049233
episode: 181, env_step_num = 16750, score = -187.55497612431452
episode: 182, env_step_num = 16816, score = -95.23139260396121
episode: 183, env_step_num = 16924, score = -314.3190718728916
episode: 184, env_step_num = 17035, score = -87.87777228576998
episode: 185, env_step_num = 17140, score = -154.9221616648373
episode: 186, env_step_num = 17279, score = -375.4741834096776
episode: 187, env_step_num = 17354, score = -105.45883143498308
episode: 188, env_step_num = 17466, score = -135.3928689452185
episode: 189, env_step_num = 17537, score = -61.85444358456849
episode: 190, env_step_num = 17627, score = -104.82616602027767
episode: 191, env_step_num = 17700, score = -297.81266010654844
episode: 192, env_step_num = 17773, score = -107.7166686924738
episode: 193, env_step_num = 17862, score = -158.68211802858815
episode: 194, env_step_num = 17975, score = -403.36391877587596
episode: 195, env_step_num = 18040, score = -146.20502438030505
episode: 196, env_step_num = 18116, score = -80.44234041434855
episode: 197, env_step_num = 18189, score = -141.7848850336248
episode: 198, env_step_num = 18270, score = -211.10181726744258
episode: 199, env_step_num = 18394, score = -331.9022082420104
target network updated.
episode: 200, env_step_num = 18517, score = -517.7285234660487
episode: 201, env_step_num = 18596, score = -127.12730176289307
episode: 202, env_step_num = 18685, score = -106.81154485926545
episode: 203, env_step_num = 18802, score = -280.09683580721776
episode: 204, env_step_num = 18871, score = -157.84225854294033
episode: 205, env_step_num = 18968, score = -102.1359354667292
episode: 206, env_step_num = 19065, score = -169.30090921341815
episode: 207, env_step_num = 19183, score = -275.23972133509807
episode: 208, env_step_num = 19245, score = -114.46738111342707
episode: 209, env_step_num = 19339, score = -415.48995955336375
episode: 210, env_step_num = 19453, score = -294.32513947259565
episode: 211, env_step_num = 19558, score = -178.31903648414405
episode: 212, env_step_num = 19685, score = -109.49807733295971
episode: 213, env_step_num = 19802, score = -133.59897652687357
episode: 214, env_step_num = 19903, score = -180.47252855144805
episode: 215, env_step_num = 20045, score = -263.6094510669
episode: 216, env_step_num = 20138, score = -80.21899856761502
episode: 217, env_step_num = 20237, score = -259.518591767435
episode: 218, env_step_num = 20357, score = -134.23872660968897
episode: 219, env_step_num = 20463, score = -180.47411344313673
episode: 220, env_step_num = 20574, score = 23.90487625348041
episode: 221, env_step_num = 20688, score = -219.5384770217982
episode: 222, env_step_num = 20801, score = -269.3957861235846
episode: 223, env_step_num = 20876, score = -46.9498662858705
episode: 224, env_step_num = 20943, score = -117.67747401616465
episode: 225, env_step_num = 21010, score = -145.92883415501274
episode: 226, env_step_num = 21105, score = -136.1532086110401
episode: 227, env_step_num = 21173, score = -110.70819410592401
episode: 228, env_step_num = 21287, score = -229.71532091081352
episode: 229, env_step_num = 21380, score = -136.7120107577084
episode: 230, env_step_num = 21472, score = -314.72235198615056
episode: 231, env_step_num = 21558, score = -103.60398388051061
episode: 232, env_step_num = 21623, score = -81.07372408111388
episode: 233, env_step_num = 21714, score = -241.2289260214122
episode: 234, env_step_num = 21842, score = -120.69288625362273
episode: 235, env_step_num = 21942, score = -278.303787958994
episode: 236, env_step_num = 22026, score = -173.2272611465873
episode: 237, env_step_num = 22088, score = -83.74834533244811
episode: 238, env_step_num = 22176, score = -248.54806402405757
episode: 239, env_step_num = 22304, score = -215.9681813525432
episode: 240, env_step_num = 22406, score = -126.9115023059788
episode: 241, env_step_num = 22486, score = -80.13601701056183
episode: 242, env_step_num = 22588, score = -407.1497042615791
episode: 243, env_step_num = 22700, score = -113.45273588710761
episode: 244, env_step_num = 22778, score = -259.26940596425857
episode: 245, env_step_num = 22881, score = -146.8037512331632
episode: 246, env_step_num = 22960, score = -106.38220648626299
episode: 247, env_step_num = 23089, score = -196.97150042545354
episode: 248, env_step_num = 23199, score = -36.0057560399721
episode: 249, env_step_num = 23264, score = -84.01836112011108
episode: 250, env_step_num = 23366, score = -333.8313686952597
episode: 251, env_step_num = 23498, score = -85.59489955735333
episode: 252, env_step_num = 23592, score = -96.18354671115515
episode: 253, env_step_num = 23691, score = -157.35048480798218
episode: 254, env_step_num = 23812, score = -139.29156313443647
episode: 255, env_step_num = 23881, score = -132.9038075657267
episode: 256, env_step_num = 23963, score = -233.33373025087099
episode: 257, env_step_num = 24029, score = -93.40516952197356
episode: 258, env_step_num = 24098, score = -219.10402915242125
episode: 259, env_step_num = 24178, score = -96.63265189715504
episode: 260, env_step_num = 24257, score = -317.617178298652
episode: 261, env_step_num = 24332, score = -150.38144791243903
episode: 262, env_step_num = 24406, score = -359.58170716438525
episode: 263, env_step_num = 24478, score = -196.64738863148233
episode: 264, env_step_num = 24573, score = -97.92167366234388
episode: 265, env_step_num = 24638, score = -33.09558741474039
episode: 266, env_step_num = 24720, score = -233.17403535086817
episode: 267, env_step_num = 24845, score = 18.168981882872302
episode: 268, env_step_num = 24925, score = -205.44203503245683
episode: 269, env_step_num = 25048, score = -325.19657272191387
episode: 270, env_step_num = 25141, score = -121.94051896366697
episode: 271, env_step_num = 25262, score = -314.03274219770196
episode: 272, env_step_num = 25354, score = -468.8892788593093
episode: 273, env_step_num = 25428, score = -110.24122605004052
episode: 274, env_step_num = 25533, score = -178.6947103340261
episode: 275, env_step_num = 25630, score = -363.3226630835701
episode: 276, env_step_num = 25714, score = 19.625482311306456
episode: 277, env_step_num = 25831, score = -289.32984295639744
episode: 278, env_step_num = 25899, score = -89.49948733202703
episode: 279, env_step_num = 26005, score = -73.603925436768
episode: 280, env_step_num = 26071, score = -101.24425370782598
episode: 281, env_step_num = 26176, score = -150.46634126017497
episode: 282, env_step_num = 26260, score = -190.4150526855114
episode: 283, env_step_num = 26330, score = -137.45431396118067
episode: 284, env_step_num = 26408, score = -107.3034462291073
episode: 285, env_step_num = 26477, score = -178.3183970546752
episode: 286, env_step_num = 26537, score = -74.78284902047076
episode: 287, env_step_num = 26611, score = -222.9779373564301
episode: 288, env_step_num = 26677, score = -233.1556793589065
episode: 289, env_step_num = 26746, score = -131.3103146805065
episode: 290, env_step_num = 26836, score = -203.55527536331243
episode: 291, env_step_num = 26942, score = -125.23484191322608
episode: 292, env_step_num = 27060, score = -105.78920255285155
episode: 293, env_step_num = 27163, score = -397.19493959331413
episode: 294, env_step_num = 27260, score = -108.46278511350697
episode: 295, env_step_num = 27368, score = -167.29209885448898
episode: 296, env_step_num = 27469, score = -107.07137849073331
episode: 297, env_step_num = 27550, score = -292.56213042429397
episode: 298, env_step_num = 27658, score = -94.45398667036442
episode: 299, env_step_num = 27755, score = -439.6694186297039
episode: 300, env_step_num = 27845, score = -228.34148428177238
episode: 301, env_step_num = 27948, score = -79.35580689117747
episode: 302, env_step_num = 28016, score = -80.5662264120032
episode: 303, env_step_num = 28109, score = -115.29693527663075
episode: 304, env_step_num = 28205, score = -104.77254784625009
episode: 305, env_step_num = 28302, score = -373.4242790334332
episode: 306, env_step_num = 28404, score = -310.0252039836123
episode: 307, env_step_num = 28500, score = -234.88227318736674
episode: 308, env_step_num = 28581, score = -233.7240623626607
episode: 309, env_step_num = 28686, score = -165.880645628178
