episode: 105, env_step_num = 9961, score = -83.64457139700937
episode: 106, env_step_num = 10031, score = -91.37957314640403
episode: 107, env_step_num = 10092, score = -87.06849045875144
episode: 108, env_step_num = 10174, score = -118.43329541478269
episode: 109, env_step_num = 10274, score = -216.06046397059578
episode: 110, env_step_num = 10382, score = -99.35798804401455
episode: 111, env_step_num = 10485, score = -140.13033332980652
episode: 112, env_step_num = 10600, score = -300.9417235693802
episode: 113, env_step_num = 10669, score = -105.0645812481866
episode: 114, env_step_num = 10795, score = -99.39211353160375
episode: 115, env_step_num = 10869, score = -214.6890823354139
episode: 116, env_step_num = 10971, score = -86.67660606013446
episode: 117, env_step_num = 11036, score = -96.75550390602005
episode: 118, env_step_num = 11158, score = -96.94763461919672
episode: 119, env_step_num = 11238, score = -111.08042738932534
episode: 120, env_step_num = 11303, score = -70.46872054411872
episode: 121, env_step_num = 11406, score = -156.83187300905905
episode: 122, env_step_num = 11481, score = -176.71318292974777
episode: 123, env_step_num = 11606, score = -177.78657104207826
episode: 124, env_step_num = 11691, score = -97.67615262479202
episode: 125, env_step_num = 11810, score = -291.0457368686904
episode: 126, env_step_num = 11909, score = -316.78353534781905
episode: 127, env_step_num = 11997, score = -19.26598244951741
episode: 128, env_step_num = 12106, score = -265.56349505820197
episode: 129, env_step_num = 12175, score = -250.6930984291508
episode: 130, env_step_num = 12255, score = -195.48289244650198
episode: 131, env_step_num = 12350, score = -216.3720844230873
episode: 132, env_step_num = 12438, score = -393.2565973023789
episode: 133, env_step_num = 12513, score = -107.87799650313735
episode: 134, env_step_num = 12589, score = -105.89095855331723
episode: 135, env_step_num = 12673, score = -101.66906320564676
episode: 136, env_step_num = 12778, score = -207.8166658931101
episode: 137, env_step_num = 12889, score = -300.81007693979416
episode: 138, env_step_num = 12963, score = -100.88618925100393
episode: 139, env_step_num = 13069, score = -132.3556873105119
episode: 140, env_step_num = 13180, score = -208.99531051898748
episode: 141, env_step_num = 13272, score = -260.82790371714816
episode: 142, env_step_num = 13364, score = -233.2530134713674
episode: 143, env_step_num = 13452, score = -88.00190326361849
episode: 144, env_step_num = 13577, score = -227.39132033256527
episode: 145, env_step_num = 13680, score = -210.19839444545084
episode: 146, env_step_num = 13771, score = -411.05441242530213
episode: 147, env_step_num = 13839, score = -113.82851961565856
episode: 148, env_step_num = 13970, score = -402.209603907902
episode: 149, env_step_num = 14054, score = -128.47431385690345
episode: 150, env_step_num = 14182, score = -305.8558655672404
episode: 151, env_step_num = 14294, score = -139.319194403918
episode: 152, env_step_num = 14400, score = -349.0731482122735
episode: 153, env_step_num = 14473, score = -80.45702410580495
episode: 154, env_step_num = 14540, score = -258.6845730724858
episode: 155, env_step_num = 14613, score = -122.86847827513732
episode: 156, env_step_num = 14712, score = -281.04771064626914
episode: 157, env_step_num = 14790, score = 47.268180627127805
episode: 158, env_step_num = 14860, score = -200.3438595257324
episode: 159, env_step_num = 14939, score = -106.09519937723067
episode: 160, env_step_num = 15025, score = -84.91148416791216
episode: 161, env_step_num = 15139, score = -244.3823073074813
episode: 162, env_step_num = 15250, score = -107.26606274679838
episode: 163, env_step_num = 15359, score = -101.67761070091896
episode: 164, env_step_num = 15490, score = -337.7804267355657
episode: 165, env_step_num = 15614, score = -245.66187909590533
episode: 166, env_step_num = 15677, score = -367.28621723765707
episode: 167, env_step_num = 15758, score = -40.40289895158048
episode: 168, env_step_num = 15858, score = 14.970493750279687
episode: 169, env_step_num = 15930, score = -129.14367077143424
episode: 170, env_step_num = 16040, score = -134.72629005373156
episode: 171, env_step_num = 16114, score = -160.7213609590662
episode: 172, env_step_num = 16188, score = -67.67841354784943
episode: 173, env_step_num = 16272, score = -336.8658179420484
episode: 174, env_step_num = 16378, score = -128.50931416351972
episode: 175, env_step_num = 16448, score = -220.30724920432323
episode: 176, env_step_num = 16532, score = -231.79733843439112
episode: 177, env_step_num = 16629, score = -231.70096748240405
episode: 178, env_step_num = 16700, score = -84.80980053962924
episode: 179, env_step_num = 16822, score = -261.09882065348563
episode: 180, env_step_num = 16904, score = -233.45170028222162
episode: 181, env_step_num = 17024, score = -274.27102533885864
episode: 182, env_step_num = 17093, score = -90.21240879262277
episode: 183, env_step_num = 17209, score = -122.18151019102444
episode: 184, env_step_num = 17325, score = -86.6098440403645
episode: 185, env_step_num = 17460, score = -149.66831786596777
episode: 186, env_step_num = 17578, score = -492.39965082587753
episode: 187, env_step_num = 17690, score = -6.806881237084426
episode: 188, env_step_num = 17763, score = -118.92648460794992
episode: 189, env_step_num = 17878, score = -225.14280294406123
episode: 190, env_step_num = 17948, score = -118.08213490935613
episode: 191, env_step_num = 18021, score = -147.40899251918339
episode: 192, env_step_num = 18127, score = -126.92257507929997
episode: 193, env_step_num = 18244, score = -13.472886131518166
episode: 194, env_step_num = 18309, score = -180.20025512573784
episode: 195, env_step_num = 18384, score = -102.90065441830389
episode: 196, env_step_num = 18493, score = -264.7086303000745
episode: 197, env_step_num = 18623, score = -31.087249908965717
episode: 198, env_step_num = 18727, score = -131.26420885912506
episode: 199, env_step_num = 18825, score = -82.73693957399244
target network updated.
episode: 200, env_step_num = 18910, score = -168.48890886265823
episode: 201, env_step_num = 19011, score = -205.327459225907
episode: 202, env_step_num = 19103, score = -98.95158313626077
episode: 203, env_step_num = 19222, score = -113.75143693262832
episode: 204, env_step_num = 19330, score = -116.20355848082244
episode: 205, env_step_num = 19399, score = -80.33165231990898
episode: 206, env_step_num = 19471, score = -125.43750381884453
episode: 207, env_step_num = 19539, score = -88.24584082495772
episode: 208, env_step_num = 19606, score = -88.8796862264901
episode: 209, env_step_num = 19687, score = -167.72847102868724
episode: 210, env_step_num = 19796, score = -114.44612589292791
episode: 211, env_step_num = 19886, score = -128.57349422206292
episode: 212, env_step_num = 19958, score = -118.15239945003626
episode: 213, env_step_num = 20059, score = -134.09855652529282
episode: 214, env_step_num = 20194, score = -44.33036171253279
episode: 215, env_step_num = 20299, score = -270.4932984633655
episode: 216, env_step_num = 20362, score = -104.06357238480656
episode: 217, env_step_num = 20470, score = -98.39627499849347
episode: 218, env_step_num = 20553, score = -107.65811212952622
episode: 219, env_step_num = 20673, score = -357.93715119461626
episode: 220, env_step_num = 20780, score = -137.09924273695182
episode: 221, env_step_num = 20885, score = -148.6525041070072
episode: 222, env_step_num = 20992, score = -100.64436972241879
episode: 223, env_step_num = 21087, score = -197.8627870295855
episode: 224, env_step_num = 21203, score = -349.6653681763917
episode: 225, env_step_num = 21272, score = -49.7860870708188
episode: 226, env_step_num = 21343, score = -80.07921876882958
episode: 227, env_step_num = 21432, score = -274.18929058289064
episode: 228, env_step_num = 21533, score = -168.2495370760377
episode: 229, env_step_num = 21616, score = -105.00893036983108
episode: 230, env_step_num = 21700, score = -193.3183437806296
episode: 231, env_step_num = 21766, score = -63.88074577315398
episode: 232, env_step_num = 21874, score = -189.78717942354956
episode: 233, env_step_num = 21994, score = -130.3363403524009
episode: 234, env_step_num = 22080, score = -133.73208510843085
episode: 235, env_step_num = 22178, score = -379.1657519362399
episode: 236, env_step_num = 22272, score = -455.8012599927614
episode: 237, env_step_num = 22364, score = -88.55988634864285
episode: 238, env_step_num = 22455, score = -100.08562273070517
episode: 239, env_step_num = 22524, score = -73.18635295428908
episode: 240, env_step_num = 22604, score = -333.3911996482676
episode: 241, env_step_num = 22666, score = -115.83931681475607
episode: 242, env_step_num = 22739, score = -92.92452289686614
episode: 243, env_step_num = 22835, score = -145.39675800008646
episode: 244, env_step_num = 22915, score = -110.63335465291657
episode: 245, env_step_num = 22994, score = -92.95433203916865
episode: 246, env_step_num = 23103, score = -111.06221983944741
episode: 247, env_step_num = 23165, score = -93.8642905851675
episode: 248, env_step_num = 23273, score = -257.7846458348124
episode: 249, env_step_num = 23339, score = -90.35560607811962
episode: 250, env_step_num = 23457, score = -131.91570563669302
episode: 251, env_step_num = 23559, score = -304.82217756824923
episode: 252, env_step_num = 23646, score = -88.86933978453662
episode: 253, env_step_num = 23722, score = -155.26472197519772
episode: 254, env_step_num = 23860, score = -122.46169894535568
episode: 255, env_step_num = 23961, score = -205.31347703269125
episode: 256, env_step_num = 24050, score = -166.9053520438972
episode: 257, env_step_num = 24188, score = -465.571977329913
episode: 258, env_step_num = 24300, score = -321.9848232472342
episode: 259, env_step_num = 24431, score = -194.05420844511565
episode: 260, env_step_num = 24515, score = -442.3991470096497
episode: 261, env_step_num = 24621, score = -320.0829719942409
episode: 262, env_step_num = 24721, score = -350.8556653300035
episode: 263, env_step_num = 24805, score = -150.2646758442902
episode: 264, env_step_num = 24909, score = -302.45035536017235
episode: 265, env_step_num = 25015, score = -403.6039250036559
episode: 266, env_step_num = 25108, score = -340.0865618888872
episode: 267, env_step_num = 25195, score = -115.39693049427157
episode: 268, env_step_num = 25262, score = -109.89813693750688
episode: 269, env_step_num = 25381, score = -213.4812467255089
episode: 270, env_step_num = 25488, score = -395.250279341991
episode: 271, env_step_num = 25583, score = -500.0178548121058
episode: 272, env_step_num = 25685, score = -124.61326545886097
episode: 273, env_step_num = 25782, score = -192.16570334690152
episode: 274, env_step_num = 25911, score = -309.3478070527503
episode: 275, env_step_num = 25989, score = -263.53830154295304
episode: 276, env_step_num = 26096, score = -186.26115485533938
episode: 277, env_step_num = 26198, score = -170.60470552338995
episode: 278, env_step_num = 26306, score = -286.0483392237869
episode: 279, env_step_num = 26411, score = -123.70102353685795
episode: 280, env_step_num = 26482, score = -54.346293176657475
episode: 281, env_step_num = 26552, score = -69.14797751165457
episode: 282, env_step_num = 26622, score = -87.91490183725753
episode: 283, env_step_num = 26713, score = -272.79001195091973
episode: 284, env_step_num = 26799, score = -106.82399678342705
episode: 285, env_step_num = 26930, score = -410.0200745421074
episode: 286, env_step_num = 26990, score = -132.76439872043477
episode: 287, env_step_num = 27085, score = -45.7319375198789
episode: 288, env_step_num = 27208, score = -353.21017926295417
episode: 289, env_step_num = 27312, score = -89.5026728411985
episode: 290, env_step_num = 27411, score = -130.80035794405256
episode: 291, env_step_num = 27497, score = -261.33203502247176
episode: 292, env_step_num = 27566, score = -111.66135401066092
episode: 293, env_step_num = 27690, score = -307.1980398410706
episode: 294, env_step_num = 27769, score = -123.79219589107609
episode: 295, env_step_num = 27846, score = -81.71291668917621
episode: 296, env_step_num = 27946, score = -418.25576596783094
episode: 297, env_step_num = 28026, score = -55.000433783550946
episode: 298, env_step_num = 28129, score = -390.74806728150605
episode: 299, env_step_num = 28229, score = -207.69171442910508
episode: 300, env_step_num = 28328, score = -190.6288285647085
episode: 301, env_step_num = 28425, score = -198.30434536789596
episode: 302, env_step_num = 28525, score = -162.8054929925321
episode: 303, env_step_num = 28656, score = -269.68512489209456
episode: 304, env_step_num = 28762, score = -213.86482896969653
episode: 305, env_step_num = 28856, score = -295.6505098566889
episode: 306, env_step_num = 28915, score = -99.32297330814082
episode: 307, env_step_num = 29003, score = -84.1567283449294
episode: 308, env_step_num = 29102, score = -442.62028997301667
episode: 309, env_step_num = 29228, score = -104.37498300335643
episode: 310, env_step_num = 29332, score = -171.9669622269481
episode: 311, env_step_num = 29425, score = -423.91800158528446
